Alaska	0.114
Utah	0.115
Texas	0.132
California	0.144
Colorado	0.144
Georgia	0.149
Maryland	0.155
Nevada	0.157
North Dakota	0.157
Illinois	0.161
Virginia	0.161
Wyoming	0.162
Nebraska	0.165
Arizona	0.166
Minnesota	0.166
Washington	0.166
Kansas	0.167
New Jersey	0.167
New York	0.169
Idaho	0.17
Louisiana	0.17
Hawaii	0.171
Indiana	0.174
Oklahoma	0.174
Connecticut	0.176
North Carolina	0.176
Massachusetts	0.179
New Mexico	0.179
South Dakota	0.182
Wisconsin	0.182
Iowa	0.183
Ohio	0.186
Mississippi	0.187
Missouri	0.187
Oregon	0.187
Tennessee	0.187
Delaware	0.191
Michigan	0.191
Rhode Island	0.192
South Carolina	0.192
Kentucky	0.195
Montana	0.195
Pennsylvania	0.198
Alabama	0.199
Florida	0.199
Arkansas	0.2
New Hampshire	0.2
Vermont	0.21
West Virginia	0.226
Maine	0.231
